"name","fundador","fundacion","refundacion","destruccion","poblacion","pais","ubicacion_actual","nombre_alternativo","nombre_antiguo","status_legal_provincial","status_legal_nacional","status_legal_internacional","lon","lat","wikipedia","sitio_web","foto","website:whc.unesco","Referencia-Web","Referencia-Titulo"
"San Ignacio Guazú","Marcelo de Lorenzana",1609,,,,"Paraguay",,,,,,,"-57.0239452","-26.8901438",,"https://es.wikipedia.org/wiki/San_Ignacio_Guaz%C3%BA_(Paraguay)",,,,
"Nuestra Señora de Loreto","José Cataldino",1610,1631,1817,,"Argentina","Loreto – Provincia de Misiones","Loreto II",,"Monumento Histórico Provincial (1.969) - Ley Nº 510","Monumento Histórico Nacional (1.983) - Decreto Nº 2210","Patrimonio de la Humanidad (1.984) - UNESCO","-55.51696300506590","-27.33271607482620","es:Nuestra Señora de Loreto (Argentina)","https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Loreto_(Argentina)","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Ruinas_Loreto_Iglesia_02.jpg/1280px-Ruinas_Loreto_Iglesia_02.jpg","http://whc.unesco.org/en/list/275",,
"San Ignacio Miní","José Cataldino y Simón Masseta",1611,,1821,,"Argentina","San Ignacio – Provincia de Misiones",,,"Patrimonio Histórico Cultural Provincial (1.983) - Ley Nº 1.280","Monumento Histórico Nacional (1.943) - Decreto Nº 16.482","Patrimonio de la Humanidad (1.984) - UNESCO","-55.53163468837730","-27.2544817430077","es:San Ignacio Miní","https://es.wikipedia.org/wiki/San_Ignacio_Min%C3%AD","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/San_Ignacio_Min%C3%AD-2.jpg/1024px-San_Ignacio_Min%C3%AD-2.jpg","http://whc.unesco.org/en/list/275",,
"Nuestra Señora de la Encarnación de Itapúa","Roque González de Santa Cruz",1615,,,,"Paraguay",,,,,,,"-55.86635470000000","-27.3390832","es:Encarnación (Paraguay)","https://es.wikipedia.org/wiki/Encarnaci%C3%B3n_(Paraguay)",,,,
"Nuestra Señora de la Inmaculada Concepción del Ibitiracuá","Roque González de Santa Cruz",1619,,1817,,"Argentina","Concepción de la Sierra – Provincia de Misiones",,,"Monumento Histórico Provincial (1.969) - Ley Nº 510",,,"-55.5203524","-27.9804161","es:Concepción de la Sierra","https://es.wikipedia.org/wiki/Concepci%C3%B3n_de_la_Sierra",,,,
"Corpus Christi","Pedro Romero y Diego de Boroa ",1622,1701,1817,,"Argentina",,"Corpus",,"Patrimonio Cultural Provincial (1.980) - Ley Nº 1.280","Monumento Histórico Nacional (1.983) - Decreto Nº 2.210",,"-55.4985016","-27.1262979","es:Corpus (Misiones)","https://es.wikipedia.org/wiki/Corpus_(Misiones)",,,,
"Santa María la Mayor","Diego de Boroa",1626,1633,1817,,"Argentina",,,"Santa María de las Misiones","Patrimonio Cultural Provincial (1.980) - Ley Nº 1.280","Monumento Histórico Nacional (1.945) - Decreto Nº 31.453","Patrimonio de la Humanidad (1.984) - UNESCO","-55.34481719953","-27.88778429234","es:Misión jesuítica de Santa María la Mayor","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_Santa_Mar%C3%ADa_la_Mayor","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Ruinas_Santa_Maria_Capilla_Viviendas.jpg/1024px-Ruinas_Santa_Maria_Capilla_Viviendas.jpg","http://whc.unesco.org/en/list/275",,
"San Nicolás","Roque González de Santa Cruz",1626,,,,"Brasil",,,,,,,"-55.2614423","-28.1850962","pt:São Nicolau (Rio Grande do Sul)","http://www.saonicolau.rs.gov.br/VisualizaConteudo.aspx?ID=1024",,,,
"Nuestra Señora de los Tres Reyes de Yapeyú","Pedro Romero",1627,,,,"Argentina",,"Yapeyú",,,,,"-56.81733816862100","-29.4710988506269","es:Yapeyú","https://es.wikipedia.org/wiki/Yapey%C3%BA",,,,
"Nuestra Señora de la Candelaria","Roque González de Santa Cruz",1627,,1665,,"Argentina","Candelaria - Provincia de Misiones","Nuestra Señora de la Candelaria del Caazapaminí",,"Patrimonio Cultural Provincial (1980) - Ley 1.280","Monumento Histórico Nacional (1983) - Decreto Nº 2210","Patrimonio de la Humanidad (1.984) - UNESCO","-55.7549732","-27.4538407","es:Candelaria (Misiones)","https://es.wikipedia.org/wiki/Candelaria_(Misiones)",,,,
"San Francisco Javier","José Ordóñez",1629,1633,1817,,"Argentina","San javier – Provincia de Misiones",,,"Monumento Histórico Provincial (1.969) - Ley Nº 510","Lugar Histórico Nacional (1.943) - Decreto Nº 16.482",,"-55.1353169","-27.8740545","es:San Javier (Misiones)","https://es.wikipedia.org/wiki/San_Javier_(Misiones)",,,,
"Nuestra Señora de la Asunción de Acaraguá y Mbororé (La Cruz)","Pedro Romero",1630,,,,,,"La (Santa) Cruz",,,,,"-56.6382532","-29.1784567","es:La Cruz (Corrientes)","https://es.wikipedia.org/wiki/La_Cruz_(Corrientes)",,,"http://misionesonline.net/2016/03/11/mas-historia-la-reduccion-mborore/","Más historia acerca de la Reducción de Mbororé"
"San Carlos Borromeo","Pedro Molas",1631,,,,"Argentina",,,,,,,"-55.8997406","-27.7436859","es:San Carlos (Corrientes)","https://es.wikipedia.org/wiki/San_Carlos_(Corrientes)",,,,
"Santo Tomé Apóstol","Luis Ernot",1632,,,,"Argentina",,,,,,,"-56.0350093","-28.5501744","es:Santo Tomé (Corrientes)","https://es.wikipedia.org/wiki/Santo_Tom%C3%A9_(Corrientes)",,,,
"Santos Apóstoles San Pedro y San Pablo","Pedro Alfaro",1632,1652,1817,,"Argentina","Apóstoles – Provincia de Misiones",,"Natividad de la Virgen del Araricá","Monumento Histórico Provincial (1.969) - Ley Nº 510",,,"-55.7506799697876","-27.9103198403152","es:Apóstoles (Argentina)","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_los_Santos_Ap%C3%B3stoles_San_Pedro_y_San_Pablo",,,,
"San Cosme y San Damián","Adriano Formosa",1632,,,,"Paraguay",,,,,,,"-56.3320539","-27.3175541","es:Misión Jesuítica de San Cosme y Damián","https://es.wikipedia.org/wiki/Misi%C3%B3n_Jesu%C3%ADtica_de_San_Cosme_y_Dami%C3%A1n","https://upload.wikimedia.org/wikipedia/commons/b/bb/San_Cosme_y_Damian_-_Iglesia_de_la_Reduccion.jpg",,,
"San José de Itacuá","José Cataldino",1633,1660,1817,,"Argentina","San José – Provincia de Misiones","San José",,"Monumento Histórico Provincial (1.969) - Ley 510","Lugar Histórico (1.943) - Decreto Nº 16.482",,"-55.7795734","-27.7703236","es:San José (Misiones)","https://es.wikipedia.org/wiki/San_Jos%C3%A9_(Misiones)",,,,
"Santa Ana","Pedro Romero",1633,1660,1817,,"Argentina","Santa Ana - Provincia de Misiones",,,"Monumento Histórico Provincial (1.969) - Ley Nº 510","Monumento Histórico Nacional (1.983) - Decreto Nº 2210","Patrimonio de la Humanidad (1.984) - UNESCO","-55.5803382396698","-27.38840134004280","es:Misión jesuítica de Santa Ana","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_Santa_Ana","https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Ruinas_Jesu%C3%ADticas_de_Santa_Ana.JPG/1024px-Ruinas_Jesu%C3%ADticas_de_Santa_Ana.JPG","http://whc.unesco.org/en/list/275",,
"Santos Mártires del Japón","Agustín Contreras",1639,1704,1817,,,,,,"Monumento Histórico Provincial (1.969) - Ley Nº 510","Monumento Histórico Nacional (1.983) - Decreto Nº 2.210",,"-55.3785093","-27.4227897","es:Mártires (Misiones)","https://es.wikipedia.org/wiki/M%C3%A1rtires_(Misiones)",,,,
"Santa María de Fe","Manuel Berthod",1647,,,,"Paraguay",,,,,,,"-56.9439451","-26.7834013","es:Santa María de Fe (Paraguay)","https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa_de_Fe_(Paraguay)",,,,
"Santiago Apóstol",,1669,,,,"pais",,,"San Ignacio de Caaguazú",,,,"-56.7631713","-27.1407485","es:Santiago (Paraguay)","https://es.wikipedia.org/wiki/Santiago_(Paraguay)","https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Museo_Jesuita_de_Santiago.JPG/640px-Museo_Jesuita_de_Santiago.JPG",,,
"San Francisco de Borja","Francisco García",1682,,,,"Brasil",,,,,,,"-56.0057473","-28.6609598","pt:São Borja","https://pt.wikipedia.org/wiki/S%C3%A3o_Borja",,,,
"Jesús de Tavarangué","Jerónimo Delfín",1685,,,,"Paraguay",,,,,,,"-55.75232148170470","-27.05494564271510","es:Misión jesuítica de Jesús de Tavarangué","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_Jes%C3%BAs_de_Tavarangu%C3%A9","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Jesus_de_Tavarangue_-_Main_building_from_the_left_2.JPG/1024px-Jesus_de_Tavarangue_-_Main_building_from_the_left_2.JPG","http://whc.unesco.org/en/list/648",,
"Jesús de Tavarangué","Manuel Berthod",1685,,,,"Paraguay",,,,,,,"-55.75317442417140","-27.05514629307380","es:Misión jesuítica de Jesús de Tavarangué","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_Jes%C3%BAs_de_Tavarangu%C3%A9","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Jesus_de_Tavarangue_-_Main_building_from_the_left_2.JPG/1024px-Jesus_de_Tavarangue_-_Main_building_from_the_left_2.JPG","http://whc.unesco.org/en/list/648",,
"San Miguel Arcángel","Juan de Anaya",1687,,1756,,"Brasil",,,,,,,"-54.5548771","-28.5473261","pt:Sítio Arqueológico de São Miguel Arcanjo","https://pt.wikipedia.org/wiki/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Miguel_Arcanjo","https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Miguel_Arcanjo_01.jpg/1024px-S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Miguel_Arcanjo_01.jpg","http://whc.unesco.org/en/list/275",,
"San Luis Gonzaga","Miguel Fernández",1687,,,,"Brasil",,,,,,,"-54.9613119","-28.4082739","pt:São Luiz Gonzaga","https://pt.wikipedia.org/wiki/S%C3%A3o_Luiz_Gonzaga",,,,
"San Lorenzo Mártir","Bernardo de la Vega",1690,,,,"Brasil",,,,,,,"-54.7099097","-28.4617043","pt:Sítio Arqueológico de São Lourenço Mártir","https://pt.wikipedia.org/wiki/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Louren%C3%A7o_M%C3%A1rtir","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Louren%C3%A7o_M%C3%A1rtir_01.jpg/1024px-S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Louren%C3%A7o_M%C3%A1rtir_01.jpg",,,
"San Juan Bautista","Antonio Sepp Von Reineg",1697,,,,"Brasil",,,,,,,"-54.399062","-28.4582177","pt:Sítio Arqueológico de São João Batista","https://pt.wikipedia.org/wiki/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Jo%C3%A3o_Batista","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Jo%C3%A3o_Batista_07.jpg/1024px-S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Jo%C3%A3o_Batista_07.jpg",,,
"Santa Rosa de Lima","Juan de Anaya",1698,,,,"pais",,,,,,,"-56.8491883","-26.8867399","es:Santa Rosa de Lima (Paraguay)","https://es.wikipedia.org/wiki/Santa_Rosa_de_Lima_(Paraguay)","https://upload.wikimedia.org/wikipedia/commons/c/cf/Paraguay_Santa_Rosa_Campanario.jpg",,,
"Santo Ângel Custodio","Diego García",1706,,,,"Brasil",,"Catedral Angelopolitana",,,,,"-54.2617258","-28.3051037","pt:Catedral Angelopolitana","https://pt.wikipedia.org/wiki/Catedral_Angelopolitana","https://upload.wikimedia.org/wikipedia/commons/a/ad/Igreja_ruina.JPG",,,
"Santísima Trinidad del Paraná","Juan de Anaya",1706,,,,"Paraguay",,,,,,,"-55.7036571","-27.1313111","es:Santísima Trinidad del Paraná","https://es.wikipedia.org/wiki/Sant%C3%ADsima_Trinidad_del_Paran%C3%A1","https://upload.wikimedia.org/wikipedia/commons/2/2a/TrinidadKirche.jpg","http://whc.unesco.org/en/list/648",,
,,,,,,,,,,,,,"-55.5318009853363","-27.25447697414010","es:San Ignacio Miní","https://es.wikipedia.org/wiki/San_Ignacio_Min%C3%AD","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/San_Ignacio_Min%C3%AD-2.jpg/1024px-San_Ignacio_Min%C3%AD-2.jpg","http://whc.unesco.org/en/list/275",,
,,,,,,,,,,,,,"-55.5807566642761","-27.3884203924912","es:Misión jesuítica de Santa Ana","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_Santa_Ana","https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Ruinas_Jesu%C3%ADticas_de_Santa_Ana.JPG/1024px-Ruinas_Jesu%C3%ADticas_de_Santa_Ana.JPG","http://whc.unesco.org/en/list/275",,
,,,,,,,,,,,,,"-55.34481719953","-27.88778429234","es:Misión jesuítica de Santa María la Mayor","https://es.wikipedia.org/wiki/Misi%C3%B3n_jesu%C3%ADtica_de_Santa_Mar%C3%ADa_la_Mayor","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Ruinas_Santa_Maria_Capilla_Viviendas.jpg/1024px-Ruinas_Santa_Maria_Capilla_Viviendas.jpg","http://whc.unesco.org/en/list/275",,
,,,,,,,,,,,,,"-55.7036571","-27.1313111","es:Santísima Trinidad del Paraná","https://es.wikipedia.org/wiki/Sant%C3%ADsima_Trinidad_del_Paran%C3%A1","https://upload.wikimedia.org/wikipedia/commons/2/2a/TrinidadKirche.jpg","http://whc.unesco.org/en/list/648",,
,,,,,,,,,,,,,"-54.5548771","-28.5473261","pt:Sítio Arqueológico de São Miguel Arcanjo","https://pt.wikipedia.org/wiki/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Miguel_Arcanjo","https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Miguel_Arcanjo_01.jpg/1024px-S%C3%ADtio_Arqueol%C3%B3gico_de_S%C3%A3o_Miguel_Arcanjo_01.jpg","http://whc.unesco.org/en/list/275",,
